31,99,97
51,55,52
85,96,32
98,26,99
69,37,46
49,92,70
49,90,92
19,47,62
43,24,23
59,14,13
14,59,71
53,5,4
47,52,55
52,18,17
47,33,62
37,59,13
26,98,27
13,12,37
51,65,77
96,34,99
41,12,11
65,16,15
57,10,67
50,56,36
11,10,57
67,63,79
89,46,79
67,10,9
51,17,16
37,12,41
53,4,66
7,64,8
37,41,46
50,54,56
52,47,18
18,47,19
51,16,65
62,20,19
80,90,49
81,83,93
24,43,39
68,22,21
57,46,41
58,22,68
88,44,94
68,61,80
49,39,43
23,58,43
5,53,54
1,24,39
50,64,7
37,69,59
6,50,7
54,50,6
54,6,5
47,55,33
70,60,39
1,39,60
2,60,72
77,65,81
1,60,2
36,64,50
66,4,3
57,41,11
23,22,58
55,51,38
53,66,78
58,49,43
56,53,40
17,51,52
53,56,54
57,67,79
58,68,80
15,71,65
39,49,70
3,72,66
61,74,75
20,62,74
74,68,21
63,73,76
8,64,73
73,67,9
15,14,71
51,77,38
3,2,72
53,78,40
73,9,8
79,63,45
74,21,20
80,61,48
69,46,91
42,93,86
70,87,84
66,82,78
69,83,59
77,81,42
70,84,60
78,82,44
76,73,64
63,67,73
75,74,62
61,68,74
81,65,71
62,33,75
64,36,76
42,38,77
82,66,72
44,40,78
89,79,45
46,57,79
90,80,48
49,58,80
83,71,59
81,71,83
84,72,60
82,72,84
85,83,69
85,32,86
70,92,87
87,30,88
91,46,89
85,91,96
83,85,93
93,42,81
29,30,87
84,94,82
84,87,94
94,44,82
45,35,89
69,91,85
48,28,90
92,95,29
89,35,91
96,91,35
95,90,28
87,92,29
85,86,93
87,88,94
34,96,35
90,95,92
31,32,96
26,25,97
99,26,97
34,98,99
96,99,31
